m,n,r,d,norm_0_mean,norm_1_mean,rank_mean,time_mean
120,40,30,10,894.2,40.79178126788527,40.0,4.055079340000001
240,80,60,10,3585.4,45.0194003406677,79.8,143.33083122
360,120,90,10,8074.4,52.74249792858858,120.0,1241.42776654
480,160,120,10,14343.0,59.049682182695776,159.6,5920.76884364
600,200,150,10,-1.0,-1.0,-1.0,-1.0
1200,400,300,10,-1.0,-1.0,-1.0,-1.0
1800,600,450,10,-1.0,-1.0,-1.0,-1.0
2400,800,600,10,-1.0,-1.0,-1.0,-1.0
3000,1000,750,10,-1.0,-1.0,-1.0,-1.0
3600,1200,900,10,-1.0,-1.0,-1.0,-1.0
4200,1400,1050,10,-1.0,-1.0,-1.0,-1.0
4800,1600,1200,10,-1.0,-1.0,-1.0,-1.0
5400,1800,1350,10,-1.0,-1.0,-1.0,-1.0
6000,2000,1500,10,-1.0,-1.0,-1.0,-1.0
